text,category
First aid kit replenishment for office,Office Supplies
Office plant and indoor garden supplies,Office Supplies
Curtains and blinds for office windows,Office Supplies
Manilla folders and document wallets,Office Supplies
Rubber bands paper clips and binder clips,Office Supplies
Correction tape and liquid paper,Office Supplies
Sticky notes dispenser and refills,Office Supplies
Cable lock for laptop security,Office Supplies
Ergonomic wrist rest for keyboard,Office Supplies
Document scanner purchase,Office Supplies
Nameboard and signage printing,Office Supplies
Notice board and cork board,Office Supplies
Office locker and key cabinet,Office Supplies
Index cards and tab dividers,Office Supplies
Binding machine and binding rings,Office Supplies
Graph paper and drawing sheets,Office Supplies
Employee ID card printing,Office Supplies
Visitor badge and lanyard supplies,Office Supplies
Room freshener spray for office,Office Supplies
Pest control service for office premises,Office Supplies
Office partition and cubicle panel,Office Supplies
Fax machine paper and toner,Office Supplies
Art supplies for design department,Office Supplies
Telephone directory and desk planner,Office Supplies
Laptop cooling pad purchase,Office Supplies
Digital clock for office reception,Office Supplies
Sticky tape roll bulk purchase,Office Supplies
Staple remover and punch machine,Office Supplies
Magazine rack for waiting area,Office Supplies
Umbrella stand for office entrance,Office Supplies
Safe box for important document storage,Office Supplies
AWS monthly cloud hosting bill,Cloud/Software
Microsoft Azure compute subscription charges,Cloud/Software
Google Cloud Platform storage and compute billing,Cloud/Software
Microsoft 365 Business subscription renewal,Cloud/Software
Slack Pro plan monthly subscription,Cloud/Software
GitHub Enterprise license annual renewal,Cloud/Software
Adobe Creative Cloud subscription,Cloud/Software
Salesforce CRM monthly license fee,Cloud/Software
Zoom video conferencing annual subscription,Cloud/Software
Jira Software license for development team,Cloud/Software
AWS EC2 and S3 storage monthly charges,Cloud/Software
Google Workspace for Business subscription,Cloud/Software
Dropbox Business plan subscription,Cloud/Software
HubSpot CRM marketing software license,Cloud/Software
Cloudflare enterprise CDN plan,Cloud/Software
MongoDB Atlas cloud database subscription,Cloud/Software
DataDog infrastructure monitoring subscription,Cloud/Software
Figma design tool professional plan,Cloud/Software
Notion team workspace subscription,Cloud/Software
Postman API platform enterprise subscription,Cloud/Software
DigitalOcean cloud server and droplet charges,Cloud/Software
Heroku application hosting subscription,Cloud/Software
SSL certificate annual renewal,Cloud/Software
Domain name registration and renewal,Cloud/Software
Norton Antivirus enterprise license renewal,Cloud/Software
Tableau data visualization software license,Cloud/Software
Zoom webinar platform subscription,Cloud/Software
AWS Lambda and API Gateway usage charges,Cloud/Software
SendGrid email API subscription charges,Cloud/Software
Twilio SMS and communication platform charges,Cloud/Software
Stripe payment gateway processing fees,Cloud/Software
New Relic application performance monitoring,Cloud/Software
Splunk log management subscription,Cloud/Software
Elastic Cloud search and analytics subscription,Cloud/Software
Snowflake data warehouse subscription,Cloud/Software
Databricks analytics platform charges,Cloud/Software
Okta identity and access management,Cloud/Software
PagerDuty incident management subscription,Cloud/Software
Confluence team wiki license,Cloud/Software
Trello project management pro plan,Cloud/Software
Asana business project management subscription,Cloud/Software
Monday.com work management subscription,Cloud/Software
Zendesk customer support platform,Cloud/Software
Intercom customer messaging subscription,Cloud/Software
Freshdesk support software license,Cloud/Software
Mixpanel product analytics subscription,Cloud/Software
Amplitude analytics platform charges,Cloud/Software
Braze customer engagement platform,Cloud/Software
Klaviyo email marketing platform subscription,Cloud/Software
Mailchimp email campaign subscription,Cloud/Software
Semrush SEO tools monthly subscription,Cloud/Software
Ahrefs backlink and keyword analysis tool,Cloud/Software
Google Analytics 360 subscription,Cloud/Software
Looker BI platform charges,Cloud/Software
Power BI Pro subscription Microsoft,Cloud/Software
Quickbooks accounting software license,Cloud/Software
Xero accounting platform subscription,Cloud/Software
Zoho One business suite subscription,Cloud/Software
Freshworks CRM subscription,Cloud/Software
Pipedrive sales CRM monthly charges,Cloud/Software
DocuSign e-signature platform subscription,Cloud/Software
Canva Pro design tool subscription,Cloud/Software
Loom video messaging subscription,Cloud/Software
Miro collaborative whiteboard subscription,Cloud/Software
Lucidchart diagramming tool license,Cloud/Software
GitLab CI/CD platform subscription,Cloud/Software
CircleCI build and test automation,Cloud/Software
Docker Hub container registry subscription,Cloud/Software
Terraform Cloud infrastructure subscription,Cloud/Software
Sentry error tracking platform subscription,Cloud/Software
LaunchDarkly feature flag subscription,Cloud/Software
VPN enterprise software license renewal,Cloud/Software
Cloudwatch AWS monitoring charges,Cloud/Software
Azure DevOps pipeline subscription,Cloud/Software
Bitbucket cloud code hosting,Cloud/Software
SonarCloud code quality subscription,Cloud/Software
Optimizely A/B testing subscription,Cloud/Software
Linear software engineering tool subscription,Cloud/Software
Vercel web hosting and deployment,Cloud/Software
Netlify hosting platform subscription,Cloud/Software
Supabase database hosting charges,Cloud/Software
Redis Cloud cache subscription,Cloud/Software
Electricity bill for office premises March,Utilities
Water supply and sewage charges for the month,Utilities
Airtel broadband internet service charges,Utilities
Corporate mobile phone plan invoice,Utilities
Natural gas supply monthly charges,Utilities
Office telephone landline bill,Utilities
Generator diesel fuel charges,Utilities
UPS power backup maintenance charges,Utilities
Jio fiber broadband monthly charges,Utilities
BSNL telephone connection bill,Utilities
BESCOM electricity consumption charges April,Utilities
LPG gas cylinder charges for office kitchen,Utilities
Solar panel maintenance and service charges,Utilities
Vi business mobile connection plan charges,Utilities
Internet leased line monthly rental,Utilities
Building electricity meter charges,Utilities
Water tanker supply charges for building,Utilities
Municipal water bill payment,Utilities
Mobile data plan recharge for field staff,Utilities
Wifi infrastructure maintenance and support,Utilities
Cable internet service provider monthly bill,Utilities
Backup power generator maintenance charges,Utilities
Air conditioning electricity consumption charges,Utilities
Office utility connection deposit and charges,Utilities
Sewage and waste disposal utility charges,Utilities
DG set fuel charges for power backup,Utilities
Electricity and power consumption for data center,Utilities
Broadband upgrade charges and installation fees,Utilities
Telephone and internet combined plan charges,Utilities
Office water purifier rental and maintenance,Utilities
Tata Power electricity bill payment,Utilities
MSEB Maharashtra electricity bill payment,Utilities
Indane gas connection charges,Utilities
HP Gas commercial cylinder supply charges,Utilities
Bharat Gas commercial supply invoice,Utilities
ACT Fibernet broadband monthly charges,Utilities
Hathway cable broadband monthly bill,Utilities
MTNL landline and broadband charges,Utilities
Vodafone corporate postpaid plan charges,Utilities
BSES Yamuna electricity Delhi charges,Utilities
TNEB Tamil Nadu electricity board bill,Utilities
KSEB Kerala state electricity board charges,Utilities
Corporate SIM card plan monthly recharge,Utilities
Office intercom system maintenance,Utilities
EPABX telephone exchange maintenance charges,Utilities
Rooftop solar unit maintenance charges,Utilities
Battery bank replacement for UPS system,Utilities
Server room air conditioning charges,Utilities
Fire alarm system maintenance and AMC,Utilities
CCTV camera power and maintenance charges,Utilities
Lift and elevator electricity charges,Utilities
Building common area electricity charges,Utilities
Smart meter installation and rental charges,Utilities
Water softener plant operation charges,Utilities
Chiller plant electricity consumption,Utilities
Boiler fuel and operation charges,Utilities
Cooling tower maintenance charges,Utilities
Emergency lighting battery replacement,Utilities
Rainwater harvesting system maintenance,Utilities
Borewell pump electricity charges,Utilities
Building management system subscription,Utilities
Peak hour electricity surcharge,Utilities
Transformer maintenance and repair charges,Utilities
Electrical panel servicing charges,Utilities
Office electricity audit service charges,Utilities
Standby power supply charges,Utilities
Network switch and router electricity charges,Utilities
Compressed air plant electricity charges,Utilities
Industrial ventilation and fan electricity,Utilities
Power factor correction charges,Utilities
Reactive power electricity charges,Utilities
Effluent treatment plant electricity charges,Utilities
Electricity demand charges industrial connection,Utilities
Telecom tower power charges,Utilities
Data center power and cooling charges,Utilities
Office alarm system monitoring charges,Utilities
Internet backbone leased circuit charges,Utilities
Photovoltaic system inspection charges,Utilities
Electrical wiring inspection and compliance,Utilities
Air India flight tickets Mumbai to Delhi,Travel
IndiGo flight booking for business trip,Travel
Hotel accommodation Bangalore 3 nights conference,Travel
Uber cab charges for client meeting,Travel
Indian Railways train tickets for employee travel,Travel
Ola cab reimbursement for office visits,Travel
Hotel stay for annual company offsite,Travel
Business class flight upgrade charges,Travel
Daily meal allowance during outstation travel,Travel
Car rental for field sales visits,Travel
Airport pickup and drop cab charges,Travel
Visa application and processing fees,Travel
Travel insurance premium for international trip,Travel
Conference hotel booking and accommodation,Travel
Metro card recharge for daily office commute,Travel
Fuel reimbursement for business travel,Travel
SpiceJet flight booking for team offsite,Travel
Outstation taxi charges for client site visit,Travel
Bus tickets for team building trip,Travel
Client entertainment dinner charges,Travel
Parking fees during client office visit,Travel
Flight date change and cancellation fees,Travel
Excess baggage charges at airport,Travel
International roaming plan charges,Travel
Business travel per diem food allowance,Travel
Hotel Marriott accommodation for management summit,Travel
MakeMyTrip flight booking charges,Travel
Yatra travel booking service fees,Travel
Railway reservation charges for sales team,Travel
Corporate cab account monthly charges,Travel
Cleartrip hotel booking for conference,Travel
Goibibo flight and hotel bundle booking,Travel
RedBus intercity bus ticket charges,Travel
Toll charges for outstation business travel,Travel
Parking charges at railway station,Travel
Airport lounge access charges,Travel
Forex card loading for international trip,Travel
International travel meal and incidentals,Travel
Trade fair participation travel charges,Travel
Industry summit travel and accommodation,Travel
Team training outstation accommodation,Travel
Recruitment drive travel expenses,Travel
Factory visit transportation charges,Travel
Vendor meeting travel reimbursement,Travel
Site inspection travel expenses,Travel
Employee relocation travel allowance,Travel
New hire joining travel reimbursement,Travel
Customer onboarding visit travel,Travel
Sales conference participation travel,Travel
Product launch event travel expenses,Travel
Annual general meeting travel charges,Travel
International exhibition travel charges,Travel
Overseas business development trip charges,Travel
Road show logistics and travel expenses,Travel
Distributor meeting travel reimbursement,Travel
Partner summit travel and hotel booking,Travel
Government office liaison visit travel,Travel
Audit team travel expenses,Travel
Due diligence travel charges,Travel
Training program outstation travel,Travel
Bus charter for team outing,Travel
Corporate travel management service fee,Travel
Flight upgrade cash payment,Travel
Transit hotel charges at airport layover,Travel
Late night cab charges for office work,Travel
Team offsite resort booking charges,Travel
Annual sales meet hotel and travel,Travel
Client guesthouse accommodation charges,Travel
Interview panel outstation travel expenses,Travel
Employee engagement trip charges,Travel
Ferry charges for island site visit,Travel
Helicopter charter for remote site access,Travel
Holiday Inn hotel accommodation charges,Travel
Taj hotel stay for board meeting,Travel
ITC hotel corporate rate booking,Travel
OYO business travel accommodation,Travel
Rapido bike taxi reimbursement for commute,Travel
Conference registration fee and stay,Travel
Weekend travel for product launch event,Travel
Steel sheets raw material purchase for factory,Inventory
Product stock replenishment order from vendor,Inventory
Electronic components purchase for manufacturing,Inventory
Packaging material bulk order cardboard boxes,Inventory
Retail inventory restocking from distributor,Inventory
Cotton fabric purchase for garment production,Inventory
Chemical raw materials for pharmaceutical factory,Inventory
Spare parts for machinery preventive maintenance,Inventory
Finished goods purchase from overseas supplier,Inventory
Food ingredients and raw produce for cafeteria,Inventory
Safety helmets hard hats and PPE kit purchase,Inventory
Hardware components for product assembly line,Inventory
Semiconductor chips bulk order for electronics,Inventory
Plastic granules for injection molding production,Inventory
Metal fasteners screws bolts bulk order,Inventory
Diesel fuel stock refill for company vehicles,Inventory
Industrial cleaning chemicals and detergents,Inventory
Paper and cardboard packaging material purchase,Inventory
Wooden pallets for warehouse storage,Inventory
Agricultural raw produce purchase for processing,Inventory
Retail merchandise restocking from brand,Inventory
Spare engine parts for vehicle fleet maintenance,Inventory
Electronic accessories cables adapters bulk buy,Inventory
Production line consumables and wearable parts,Inventory
Nuts bolts and industrial fasteners bulk order,Inventory
Raw rubber purchase for tyre manufacturing,Inventory
Lubricants and oils for machinery maintenance,Inventory
Battery and electrical components for assembly,Inventory
Water treatment chemicals for plant operations,Inventory
Office pantry snacks and beverages restocking,Inventory
Copper wire and cable purchase for electronics,Inventory
Aluminium sheets for fabrication work,Inventory
PVC pipes and fittings for plumbing,Inventory
Paint and coating materials for factory,Inventory
Adhesive sealant and bonding agents,Inventory
Abrasive grinding wheels purchase,Inventory
Cutting tools and drill bits purchase,Inventory
Welding rods and welding consumables,Inventory
Safety gloves and protective work gear,Inventory
Industrial valves and pipe fittings,Inventory
Bearings and mechanical components purchase,Inventory
Drive belts and pulleys for machinery,Inventory
Hydraulic fluid and seals purchase,Inventory
Pneumatic components and air fittings,Inventory
Circuit breakers and electrical panels,Inventory
Lighting fixtures for factory floor,Inventory
Insulation material for pipes and tanks,Inventory
Gaskets and sealing materials,Inventory
O rings and rubber seal purchase,Inventory
Stainless steel fasteners and anchor bolts,Inventory
Thermoplastic sheets for fabrication,Inventory
Foam and cushioning material for packaging,Inventory
Stretch wrap and shrink film purchase,Inventory
Corrugated boxes and mailers purchase,Inventory
Polybags and pouches for packaging,Inventory
Printed labels and barcodes bulk order,Inventory
Warehouse shelving and racking purchase,Inventory
Forklift battery and charging unit,Inventory
Hand trucks and trolleys for warehouse,Inventory
Storage bins and containers purchase,Inventory
Weighing scale purchase for warehouse goods,Inventory
Conveyor belt replacement parts,Inventory
Packaging machine spare parts,Inventory
Labeling machine consumables,Inventory
Barcode scanner and handheld device purchase,Inventory
RFID tags and inventory tracking labels,Inventory
Raw ingredients purchase for food processing,Inventory
Spices and condiments for cafeteria restocking,Inventory
Bakery ingredients flour sugar oil purchase,Inventory
Cold storage inventory purchase,Inventory
Perishable goods purchase for retail,Inventory
Promotional merchandise for marketing team,Inventory
Seasonal stock purchase for festive season,Inventory
B2B wholesale goods purchase from supplier,Inventory
Import clearance goods and customs duty,Inventory
Contract manufacturing batch component purchase,Inventory
OEM component purchase for production line,Inventory
Raw wood timber purchase for furniture factory,Inventory
Glass panels and sheets for glazing,Inventory
Cement and construction aggregate purchase,Inventory
Spare compressor parts for refrigeration unit,Inventory
Catalyst chemicals for production process,Inventory
Iron ore raw material purchase for smelting,Inventory
